ID,gold_pur,,,,,,
1826,218,,,,,,
1,37,,,,,,
10476,30,,,,,,
1386,0,,,,,,
5371,34,,,,,,
7348,43,,,,,,
4073,65,,,,,,
1991,7,,,,,,
4047,5,,,,,,
9477,5,,,,,,
2079,26,,,,,,
5642,4,,,,,,
10530,102,,,,,,
2964,32,,,,,,
10311,321,,,,,,
837,22,,,,,,
10521,22,,,,,,
10175,2,,,,,,
1473,10,,,,,,
2795,5,,,,,,
2285,30,,,,,,
115,7,,,,,,
10470,23,,,,,,
4065,23,,,,,,
10968,44,,,,,,
5985,3,,,,,,
5430,32,,,,,,
8432,32,,,,,,
453,5,,,,,,
9687,32,,,,,,
8890,10,,,,,,
9264,197,,,,,,
5824,0,,,,,,
5794,17,,,,,,
3068,7,,,,,,
7962,20,,,,,,
2681,29,,,,,,
10141,3,,,,,,
3725,16,,,,,,
3767,172,,,,,,
5585,10,,,,,,
7030,14,,,,,,
1524,45,,,,,,
3657,12,,,,,,
5740,26,,,,,,
9595,30,,,,,,
3158,6,,,,,,
5114,9,,,,,,
340,125,,,,,,
8805,27,,,,,,
1241,16,,,,,,
1402,12,,,,,,
7264,1,,,,,,
1619,17,,,,,,
6398,4,,,,,,
1857,23,,,,,,
4877,0,,,,,,
3066,13,,,,,,
10286,8,,,,,,
1992,66,,,,,,
4246,262,,,,,,
10623,0,,,,,,
4867,10,,,,,,
3112,5,,,,,,
4865,11,,,,,,
6287,6,,,,,,
4405,15,,,,,,
5332,54,,,,,,
1519,3,,,,,,
9080,3,,,,,,
1772,129,,,,,,
5341,27,,,,,,
5510,102,,,,,,
3887,39,,,,,,
7022,35,,,,,,
9999,21,,,,,,
10352,26,,,,,,
7919,0,,,,,,
4114,32,,,,,,
7990,0,,,,,,
9888,40,,,,,,
4399,40,,,,,,
4452,34,,,,,,
4785,14,,,,,,
8461,1,,,,,,
3878,11,,,,,,
9612,16,,,,,,
4098,1,,,,,,
158,97,,,,,,
3896,2,,,,,,
9970,14,,,,,,
4002,10,,,,,,
10914,2,,,,,,
7279,67,,,,,,
10582,90,,,,,,
4470,22,,,,,,
6183,22,,,,,,
6379,31,,,,,,
8601,102,,,,,,
4827,8,,,,,,
6715,26,,,,,,
10676,145,,,,,,
1041,42,,,,,,
492,42,,,,,,
11133,42,,,,,,
4491,34,,,,,,
873,34,,,,,,
1631,12,,,,,,
8278,33,,,,,,
6815,62,,,,,,
254,30,,,,,,
1349,27,,,,,,
2534,41,,,,,,
2130,24,,,,,,
2296,10,,,,,,
3799,143,,,,,,
11084,50,,,,,,
5172,50,,,,,,
9504,47,,,,,,
850,21,,,,,,
4477,109,,,,,,
1945,168,,,,,,
7685,12,,,,,,
6310,12,,,,,,
10832,125,,,,,,
3025,3,,,,,,
2404,41,,,,,,
8581,28,,,,,,
8755,22,,,,,,
10177,150,,,,,,
2429,150,,,,,,
8920,91,,,,,,
8430,3,,,,,,
8619,3,,,,,,
8996,53,,,,,,
7233,128,,,,,,
6678,5,,,,,,
830,48,,,,,,
6365,20,,,,,,
6770,31,,,,,,
2261,4,,,,,,
1031,33,,,,,,
10089,148,,,,,,
9256,80,,,,,,
10641,25,,,,,,
624,15,,,,,,
4211,17,,,,,,
1407,17,,,,,,
10356,1,,,,,,
9323,42,,,,,,
1146,42,,,,,,
6343,43,,,,,,
8545,51,,,,,,
8275,1,,,,,,
10673,80,,,,,,
8799,3,,,,,,
67,8,,,,,,
9923,8,,,,,,
2814,7,,,,,,
2711,7,,,,,,
4320,91,,,,,,
10451,8,,,,,,
4198,8,,,,,,
10814,191,,,,,,
944,48,,,,,,
8151,108,,,,,,
6184,48,,,,,,
3498,107,,,,,,
2870,69,,,,,,
7342,66,,,,,,
1911,121,,,,,,
10862,26,,,,,,
2546,23,,,,,,
3005,147,,,,,,
8318,57,,,,,,
2930,48,,,,,,
8216,71,,,,,,
1212,64,,,,,,
2541,5,,,,,,
10659,21,,,,,,
10905,0,,,,,,
8910,0,,,,,,
7349,42,,,,,,
7872,63,,,,,,
4290,5,,,,,,
7408,9,,,,,,
9986,10,,,,,,
8235,61,,,,,,
10949,55,,,,,,
7284,1,,,,,,
9529,181,,,,,,
9930,22,,,,,,
10270,11,,,,,,
760,15,,,,,,
5519,135,,,,,,
232,34,,,,,,
3009,160,,,,,,
6518,6,,,,,,
10669,25,,,,,,
5682,21,,,,,,
1570,57,,,,,,
1497,22,,,,,,
9723,56,,,,,,
7261,15,,,,,,
2452,15,,,,,,
5621,0,,,,,,
10995,26,,,,,,
7373,43,,,,,,
5331,86,,,,,,
263,25,,,,,,
4619,3,,,,,,
940,17,,,,,,
10084,17,,,,,,
6019,7,,,,,,
1463,3,,,,,,
6424,16,,,,,,
8233,10,,,,,,
1515,2,,,,,,
10855,42,,,,,,
10909,119,,,,,,
3376,19,,,,,,
10232,24,,,,,,
5547,0,,,,,,
8362,0,,,,,,
3524,16,,,,,,
10095,12,,,,,,
8897,112,,,,,,
466,21,,,,,,
11025,20,,,,,,
2387,20,,,,,,
1618,51,,,,,,
25,153,,,,,,
3277,17,,,,,,
8566,1,,,,,,
2634,7,,,,,,
8036,9,,,,,,
8159,30,,,,,,
7628,8,,,,,,
9597,130,,,,,,
1384,22,,,,,,
10150,37,,,,,,
3885,24,,,,,,
11003,18,,,,,,
8026,58,,,,,,
577,2,,,,,,
8702,2,,,,,,
5429,1,,,,,,
977,19,,,,,,
2793,133,,,,,,
1071,133,,,,,,
5074,5,,,,,,
2632,152,,,,,,
6404,28,,,,,,
10240,42,,,,,,
2521,18,,,,,,
4301,18,,,,,,
7381,30,,,,,,
2407,95,,,,,,
9064,95,,,,,,
5067,26,,,,,,
10281,54,,,,,,
11191,18,,,,,,
1994,1,,,,,,
2552,4,,,,,,
6720,107,,,,,,
4557,21,,,,,,
1183,3,,,,,,
4186,17,,,,,,
1419,17,,,,,,
967,19,,,,,,
1048,28,,,,,,
9262,12,,,,,,
3427,35,,,,,,
5892,2,,,,,,
8911,83,,,,,,
6606,11,,,,,,
2677,8,,,,,,
252,88,,,,,,
9860,31,,,,,,
1388,42,,,,,,
979,42,,,,,,
7494,15,,,,,,
10490,109,,,,,,
3403,134,,,,,,
2715,64,,,,,,
4828,38,,,,,,
92,20,,,,,,
3312,20,,,,,,
11176,4,,,,,,
1446,68,,,,,,
9699,14,,,,,,
9790,97,,,,,,
2324,76,,,,,,
5080,140,,,,,,
4992,30,,,,,,
7849,66,,,,,,
4808,3,,,,,,
10401,9,,,,,,
7793,38,,,,,,
9303,5,,,,,,
6853,80,,,,,,
7366,80,,,,,,
9780,37,,,,,,
7573,34,,,,,,
1379,15,,,,,,
8923,79,,,,,,
3547,12,,,,,,
8707,99,,,,,,
1891,83,,,,,,
6271,2,,,,,,
9635,14,,,,,,
9727,25,,,,,,
6205,10,,,,,,
10681,83,,,,,,
5156,83,,,,,,
3050,17,,,,,,
8164,37,,,,,,
5626,13,,,,,,
7600,13,,,,,,
6406,40,,,,,,
7002,52,,,,,,
8234,3,,,,,,
6116,8,,,,,,
291,116,,,,,,
8779,18,,,,,,
4931,1,,,,,,
1650,138,,,,,,
9701,116,,,,,,
6431,4,,,,,,
10789,4,,,,,,
5302,166,,,,,,
4459,1,,,,,,
10642,1,,,,,,
9213,3,,,,,,
3678,59,,,,,,
3698,241,,,,,,
5929,3,,,,,,
10795,3,,,,,,
4390,31,,,,,,
9362,21,,,,,,
1577,95,,,,,,
4609,40,,,,,,
7143,37,,,,,,
1729,157,,,,,,
10664,22,,,,,,
5029,1,,,,,,
10507,23,,,,,,
3865,30,,,,,,
6982,15,,,,,,
7042,10,,,,,,
9668,20,,,,,,
6878,55,,,,,,
4099,21,,,,,,
5031,114,,,,,,
1970,12,,,,,,
5726,6,,,,,,
5231,13,,,,,,
1307,12,,,,,,
10609,0,,,,,,
5782,42,,,,,,
7533,7,,,,,,
9493,17,,,,,,
2253,18,,,,,,
2326,18,,,,,,
1876,18,,,,,,
7141,64,,,,,,
7393,3,,,,,,
4713,6,,,,,,
5093,11,,,,,,
8524,11,,,,,,
3766,219,,,,,,
9725,1,,,,,,
8933,3,,,,,,
10779,11,,,,,,
9289,13,,,,,,
2613,13,,,,,,
10133,45,,,,,,
8443,40,,,,,,
10796,12,,,,,,
10241,6,,,,,,
3388,2,,,,,,
6507,12,,,,,,
7446,14,,,,,,
87,17,,,,,,
10477,13,,,,,,
6072,133,,,,,,
2518,10,,,,,,
247,16,,,,,,
9463,14,,,,,,
1459,26,,,,,,
9530,0,,,,,,
9653,21,,,,,,
10785,4,,,,,,
